wiki_db	log_month	num_blocks
enwiki	2015-01-01	350
eswiki	2014-09-01	46
eswiki	2018-09-01	33
frwiki	2013-04-01	75
frwiki	2016-12-01	32
frwiki	2017-04-01	55
itwiki	2015-09-01	75
eswiki	2015-07-01	38
eswiki	2016-02-01	36
frwiki	2013-10-01	50
frwiki	2014-02-01	63
frwiki	2017-10-01	50
itwiki	2016-07-01	45
itwiki	2017-02-01	83
enwiki	2015-09-01	372
frwiki	2018-07-01	40
itwiki	2013-05-01	96
enwiki	2016-07-01	360
enwiki	2017-02-01	374
eswiki	2013-03-01	46
frwiki	2015-05-01	46
itwiki	2013-11-01	85
itwiki	2014-03-01	78
enwiki	2013-05-01	342
eswiki	2017-08-01	25
frwiki	2015-11-01	38
frwiki	2016-03-01	43
itwiki	2018-08-01	101
enwiki	2013-11-01	310
eswiki	2014-06-01	53
eswiki	2018-06-01	35
eswiki	2019-01-01	35
frwiki	2013-01-01	84
frwiki	2017-01-01	60
itwiki	2015-06-01	107
enwiki	2014-08-01	342
enwiki	2018-08-01	318
eswiki	2014-12-01	49
eswiki	2015-04-01	59
eswiki	2018-12-01	39
itwiki	2015-12-01	85
itwiki	2016-04-01	84
enwiki	2015-06-01	347
eswiki	2015-10-01	61
frwiki	2013-09-01	47
frwiki	2017-09-01	32
frwiki	2018-04-01	73
itwiki	2013-02-01	90
itwiki	2016-10-01	72
enwiki	2015-12-01	297
enwiki	2016-04-01	325
eswiki	2016-07-01	40
frwiki	2014-07-01	45
frwiki	2015-02-01	38
frwiki	2018-10-01	33
itwiki	2017-07-01	73
enwiki	2013-02-01	275
enwiki	2016-10-01	347
eswiki	2017-05-01	32
itwiki	2018-05-01	120
enwiki	2017-07-01	381
eswiki	2013-08-01	49
eswiki	2014-03-01	32
eswiki	2017-11-01	31
eswiki	2018-03-01	41
itwiki	2014-08-01	124
itwiki	2015-03-01	129
itwiki	2018-11-01	142
enwiki	2014-05-01	314
enwiki	2018-05-01	339
eswiki	2015-01-01	58
frwiki	2016-08-01	38
itwiki	2016-01-01	103
enwiki	2014-11-01	365
enwiki	2015-03-01	417
enwiki	2018-11-01	295
frwiki	2013-06-01	48
frwiki	2017-06-01	44
frwiki	2018-01-01	45
enwiki	2016-01-01	310
eswiki	2015-09-01	35
eswiki	2016-04-01	38
frwiki	2013-12-01	59
frwiki	2014-04-01	51
frwiki	2017-12-01	37
itwiki	2016-09-01	94
itwiki	2017-04-01	87
eswiki	2016-10-01	41
eswiki	2017-02-01	41
frwiki	2014-10-01	40
frwiki	2018-09-01	33
itwiki	2013-07-01	90
itwiki	2017-10-01	70
itwiki	2018-02-01	130
