wiki_db	log_month	num_blocks
frwiki	2017-02-01	432
frwiki	2017-03-01	665
frwiki	2017-04-01	3267
frwiki	2017-05-01	616
frwiki	2017-06-01	434
frwiki	2017-07-01	284
frwiki	2017-08-01	350
frwiki	2017-09-01	433
frwiki	2017-10-01	521
frwiki	2017-11-01	537
frwiki	2017-12-01	723
frwiki	2018-01-01	876
frwiki	2018-02-01	835
frwiki	2018-03-01	868
frwiki	2018-04-01	3568
frwiki	2018-05-01	1176
frwiki	2018-06-01	774
frwiki	2018-07-01	1489
frwiki	2018-08-01	330
frwiki	2018-09-01	638
frwiki	2018-10-01	768
frwiki	2018-11-01	949
frwiki	2018-12-01	782
itwiki	2013-01-01	468
itwiki	2013-02-01	297
itwiki	2013-03-01	319
itwiki	2013-04-01	278
itwiki	2013-05-01	328
itwiki	2013-06-01	361
itwiki	2013-07-01	433
itwiki	2013-08-01	404
itwiki	2013-09-01	447
itwiki	2013-10-01	417
itwiki	2013-11-01	463
itwiki	2013-12-01	461
itwiki	2014-01-01	639
itwiki	2014-02-01	563
itwiki	2014-03-01	441
itwiki	2014-04-01	449
itwiki	2014-05-01	477
itwiki	2014-06-01	489
itwiki	2014-07-01	619
itwiki	2014-08-01	639
itwiki	2014-09-01	541
itwiki	2014-10-01	679
itwiki	2014-11-01	833
itwiki	2014-12-01	1052
itwiki	2015-01-01	1074
itwiki	2015-02-01	859
itwiki	2015-03-01	867
itwiki	2015-04-01	743
itwiki	2015-05-01	806
itwiki	2015-06-01	1072
itwiki	2015-07-01	759
itwiki	2015-08-01	685
itwiki	2015-09-01	716
itwiki	2015-10-01	611
itwiki	2015-11-01	719
itwiki	2015-12-01	650
itwiki	2016-01-01	968
itwiki	2016-02-01	723
itwiki	2016-03-01	599
itwiki	2016-04-01	1201
itwiki	2016-05-01	632
itwiki	2016-06-01	593
itwiki	2016-07-01	480
itwiki	2016-08-01	578
itwiki	2016-09-01	728
itwiki	2016-10-01	700
itwiki	2016-11-01	559
itwiki	2016-12-01	552
itwiki	2017-01-01	723
itwiki	2017-02-01	646
itwiki	2017-03-01	660
itwiki	2017-04-01	639
itwiki	2017-05-01	610
itwiki	2017-06-01	538
