wiki_db	log_month	num_blocks
frwiki	2017-07-01	53
frwiki	2017-08-01	35
frwiki	2017-09-01	24
frwiki	2017-10-01	41
frwiki	2017-11-01	31
frwiki	2017-12-01	28
frwiki	2018-01-01	39
frwiki	2018-02-01	54
frwiki	2018-03-01	43
frwiki	2018-04-01	52
frwiki	2018-05-01	42
frwiki	2018-06-01	46
frwiki	2018-07-01	33
frwiki	2018-08-01	26
frwiki	2018-09-01	27
frwiki	2018-10-01	29
frwiki	2018-11-01	30
frwiki	2018-12-01	36
itwiki	2013-01-01	98
itwiki	2013-02-01	72
itwiki	2013-03-01	52
itwiki	2013-04-01	71
itwiki	2013-05-01	79
itwiki	2013-06-01	70
itwiki	2013-07-01	82
itwiki	2013-08-01	82
itwiki	2013-09-01	61
itwiki	2013-10-01	60
itwiki	2013-11-01	68
itwiki	2013-12-01	58
itwiki	2014-01-01	90
itwiki	2014-02-01	61
itwiki	2014-03-01	69
itwiki	2014-04-01	55
itwiki	2014-05-01	59
itwiki	2014-06-01	80
itwiki	2014-07-01	87
itwiki	2014-08-01	92
itwiki	2014-09-01	96
itwiki	2014-10-01	73
itwiki	2014-11-01	79
itwiki	2014-12-01	98
itwiki	2015-01-01	142
itwiki	2015-02-01	145
itwiki	2015-03-01	104
itwiki	2015-04-01	92
itwiki	2015-05-01	70
itwiki	2015-06-01	87
itwiki	2015-07-01	87
itwiki	2015-08-01	73
itwiki	2015-09-01	65
itwiki	2015-10-01	69
itwiki	2015-11-01	51
itwiki	2015-12-01	72
itwiki	2016-01-01	90
itwiki	2016-02-01	67
itwiki	2016-03-01	58
itwiki	2016-04-01	70
itwiki	2016-05-01	61
itwiki	2016-06-01	60
itwiki	2016-07-01	38
itwiki	2016-08-01	58
itwiki	2016-09-01	71
itwiki	2016-10-01	46
itwiki	2016-11-01	60
itwiki	2016-12-01	67
itwiki	2017-01-01	76
itwiki	2017-02-01	70
itwiki	2017-03-01	74
itwiki	2017-04-01	67
itwiki	2017-05-01	69
itwiki	2017-06-01	58
itwiki	2017-07-01	60
itwiki	2017-08-01	58
itwiki	2017-09-01	70
itwiki	2017-10-01	52
itwiki	2017-11-01	81
itwiki	2017-12-01	77
itwiki	2018-01-01	104
itwiki	2018-02-01	113
itwiki	2018-03-01	91
itwiki	2018-04-01	92
itwiki	2018-05-01	99
itwiki	2018-06-01	95
itwiki	2018-07-01	66
itwiki	2018-08-01	70
itwiki	2018-09-01	64
itwiki	2018-10-01	84
itwiki	2018-11-01	117
itwiki	2018-12-01	89
