wiki_db	log_month	num_blocks
itwiki	2015-10-01	16
itwiki	2015-11-01	15
itwiki	2015-12-01	23
itwiki	2016-01-01	38
itwiki	2016-02-01	21
itwiki	2016-03-01	12
itwiki	2016-04-01	24
itwiki	2016-05-01	19
itwiki	2016-06-01	19
itwiki	2016-07-01	12
itwiki	2016-08-01	13
itwiki	2016-09-01	18
itwiki	2016-10-01	12
itwiki	2016-11-01	21
itwiki	2016-12-01	13
itwiki	2017-01-01	18
itwiki	2017-02-01	17
itwiki	2017-03-01	24
itwiki	2017-04-01	18
itwiki	2017-05-01	19
itwiki	2017-06-01	17
itwiki	2017-07-01	20
itwiki	2017-08-01	21
itwiki	2017-09-01	21
itwiki	2017-10-01	15
itwiki	2017-11-01	22
itwiki	2017-12-01	18
itwiki	2018-01-01	33
itwiki	2018-02-01	36
itwiki	2018-03-01	25
itwiki	2018-04-01	25
itwiki	2018-05-01	27
itwiki	2018-06-01	25
itwiki	2018-07-01	18
itwiki	2018-08-01	25
itwiki	2018-09-01	17
itwiki	2018-10-01	18
itwiki	2018-11-01	25
